seed,condition,epoch,metric,value
0,baseline,1,accuracy,0.3109999895095825
0,baseline,1,val_accuracy,0.43299999833106995
0,baseline,1,loss,1.8866369724273682
0,baseline,1,val_loss,1.6155459880828857
0,baseline,2,accuracy,0.4569000005722046
0,baseline,2,val_accuracy,0.46700000762939453
0,baseline,2,loss,1.5074375867843628
0,baseline,2,val_loss,1.5079644918441772
0,baseline,3,accuracy,0.5116999745368958
0,baseline,3,val_accuracy,0.4934999942779541
0,baseline,3,loss,1.3550264835357666
0,baseline,3,val_loss,1.4546937942504883
0,augmented,1,accuracy,0.2863999903202057
0,augmented,1,val_accuracy,0.35850000381469727
0,augmented,1,loss,1.9593842029571533
0,augmented,1,val_loss,1.7667877674102783
0,augmented,2,accuracy,0.4223000109195709
0,augmented,2,val_accuracy,0.43050000071525574
0,augmented,2,loss,1.608091115951538
0,augmented,2,val_loss,1.5832123756408691
0,augmented,3,accuracy,0.4684999883174896
0,augmented,3,val_accuracy,0.44600000977516174
0,augmented,3,loss,1.4873428344726562
0,augmented,3,val_loss,1.546011209487915
1,baseline,1,accuracy,0.30889999866485596
1,baseline,1,val_accuracy,0.4255000054836273
1,baseline,1,loss,1.8957310914993286
1,baseline,1,val_loss,1.6140424013137817
1,baseline,2,accuracy,0.45890000462532043
1,baseline,2,val_accuracy,0.4625000059604645
1,baseline,2,loss,1.5011773109436035
1,baseline,2,val_loss,1.4778358936309814
1,baseline,3,accuracy,0.5217000246047974
1,baseline,3,val_accuracy,0.5210000276565552
1,baseline,3,loss,1.3348476886749268
1,baseline,3,val_loss,1.3610007762908936
1,augmented,1,accuracy,0.28940001130104065
1,augmented,1,val_accuracy,0.4194999933242798
1,augmented,1,loss,1.9335062503814697
1,augmented,1,val_loss,1.640358328819275
1,augmented,2,accuracy,0.41780000925064087
1,augmented,2,val_accuracy,0.4625000059604645
1,augmented,2,loss,1.5941507816314697
1,augmented,2,val_loss,1.505128264427185
1,augmented,3,accuracy,0.4729999899864197
1,augmented,3,val_accuracy,0.4794999957084656
1,augmented,3,loss,1.4761830568313599
1,augmented,3,val_loss,1.4505928754806519
2,baseline,1,accuracy,0.33009999990463257
2,baseline,1,val_accuracy,0.42649999260902405
2,baseline,1,loss,1.8294507265090942
2,baseline,1,val_loss,1.5888680219650269
2,baseline,2,accuracy,0.47360000014305115
2,baseline,2,val_accuracy,0.4934999942779541
2,baseline,2,loss,1.4631032943725586
2,baseline,2,val_loss,1.438661813735962
2,baseline,3,accuracy,0.5393999814987183
2,baseline,3,val_accuracy,0.5325000286102295
2,baseline,3,loss,1.3087791204452515
2,baseline,3,val_loss,1.3327085971832275
2,augmented,1,accuracy,0.29409998655319214
2,augmented,1,val_accuracy,0.41200000047683716
2,augmented,1,loss,1.9322059154510498
2,augmented,1,val_loss,1.6687029600143433
2,augmented,2,accuracy,0.42739999294281006
2,augmented,2,val_accuracy,0.445499986410141
2,augmented,2,loss,1.5906455516815186
2,augmented,2,val_loss,1.5882753133773804
2,augmented,3,accuracy,0.47850000858306885
2,augmented,3,val_accuracy,0.4779999852180481
