run_seed,class_name,precision,recall,f1,support
0,airplane,0.5853658536585366,0.6295081967213115,0.6066350710900474,305
0,automobile,0.5833333333333334,0.7291666666666666,0.6481481481481481,288
0,bird,0.4444444444444444,0.1188118811881188,0.1875,303
0,cat,0.4418604651162791,0.24675324675324675,0.31666666666666665,308
0,deer,0.46153846153846156,0.2582781456953642,0.33121019108280253,302
0,dog,0.45517241379310347,0.4697508896797153,0.46234676007005254,281
0,frog,0.46396396396396394,0.7490909090909091,0.5730180806675939,275
0,horse,0.42962962962962964,0.7412140575079872,0.5439624853458382,313
0,ship,0.7924528301886793,0.402555910543131,0.5338983050847458,313
0,truck,0.4310722100656455,0.6314102564102564,0.5123537061118335,312
1,airplane,0.6491228070175439,0.4852459016393443,0.5553470919324578,305
1,automobile,0.7263157894736842,0.4791666666666667,0.5774058577405857,288
1,bird,0.36363636363636365,0.29042904290429045,0.3229357798165138,303
1,cat,0.3293838862559242,0.4512987012987013,0.38082191780821917,308
1,deer,0.48398576512455516,0.4503311258278146,0.4665523156089194,302
1,dog,0.5590062111801242,0.3202846975088968,0.4072398190045249,281
1,frog,0.48058252427184467,0.72,0.5764192139737991,275
1,horse,0.5344352617079889,0.6198083067092651,0.5739644970414202,313
1,ship,0.6070381231671554,0.6613418530351438,0.6330275229357798,313
1,truck,0.5194444444444445,0.5993589743589743,0.5565476190476191,312
2,airplane,0.5482093663911846,0.6524590163934426,0.5958083832335329,305
2,automobile,0.6438848920863309,0.6215277777777778,0.6325088339222615,288
2,bird,0.38636363636363635,0.33663366336633666,0.35978835978835977,303
2,cat,0.4222222222222222,0.30844155844155846,0.35647279549718575,308
2,deer,0.3833718244803695,0.5496688741721855,0.45170068027210886,302
2,dog,0.5,0.4128113879003559,0.4522417153996101,281
2,frog,0.6408163265306123,0.5709090909090909,0.6038461538461538,275
2,horse,0.6444444444444445,0.5559105431309904,0.5969125214408233,313
2,ship,0.5858310626702997,0.6869009584664537,0.6323529411764706,313
2,truck,0.5603715170278638,0.5801282051282052,0.5700787401574803,312
3,airplane,0.6027397260273972,0.5770491803278689,0.5896147403685092,305
3,automobile,0.6977777777777778,0.5451388888888888,0.6120857699805068,288
3,bird,0.35987261146496813,0.37293729372937295,0.36628849270664504,303
3,cat,0.35526315789473684,0.262987012987013,0.30223880597014924,308
3,deer,0.5240963855421686,0.28807947019867547,0.3717948717948718,302
3,dog,0.36767676767676766,0.6476868327402135,0.4690721649484536,281
3,frog,0.6462882096069869,0.5381818181818182,0.5873015873015873,275
3,horse,0.7244897959183674,0.4536741214057508,0.5579567779960707,313
3,ship,0.636986301369863,0.5942492012779552,0.6148760330578512,313
3,truck,0.4227353463587922,0.7628205128205128,0.544,312
4,airplane,0.5319634703196348,0.7639344262295082,0.6271870794078062,305
4,automobile,0.6639344262295082,0.5625,0.6090225563909775,288
4,bird,0.360313315926893,0.45544554455445546,0.40233236151603496,303
4,cat,0.3687150837988827,0.42857142857142855,0.3963963963963964,308
4,deer,0.4945652173913043,0.30132450331125826,0.37448559670781895,302
4,dog,0.5172413793103449,0.3736654804270463,0.43388429752066116,281
4,frog,0.6259541984732825,0.5963636363636363,0.6108007448789572,275
4,horse,0.5527777777777778,0.6357827476038339,0.5913818722139673,313
4,ship,0.7076923076923077,0.5878594249201278,0.6422338568935427,313
4,truck,0.6168831168831169,0.6089743589743589,0.6129032258064516,312
