run_seed,epoch,metric,value
0,1,accuracy,0.3109999895095825
0,1,val_accuracy,0.43299999833106995
0,1,loss,1.8866369724273682
0,1,val_loss,1.6155459880828857
0,2,accuracy,0.4569000005722046
0,2,val_accuracy,0.46700000762939453
0,2,loss,1.5074375867843628
0,2,val_loss,1.5079644918441772
0,3,accuracy,0.5116999745368958
0,3,val_accuracy,0.4934999942779541
0,3,loss,1.3550264835357666
0,3,val_loss,1.4546937942504883
1,1,accuracy,0.30630001425743103
1,1,val_accuracy,0.41499999165534973
1,1,loss,1.884147047996521
1,1,val_loss,1.6277275085449219
1,2,accuracy,0.444599986076355
1,2,val_accuracy,0.46299999952316284
1,2,loss,1.5131176710128784
1,2,val_loss,1.5004737377166748
1,3,accuracy,0.5051000118255615
1,3,val_accuracy,0.5090000033378601
1,3,loss,1.3754940032958984
1,3,val_loss,1.3880492448806763
2,1,accuracy,0.2985000014305115
2,1,val_accuracy,0.4284999966621399
2,1,loss,1.9195834398269653
2,1,val_loss,1.6188557147979736
2,2,accuracy,0.4733999967575073
2,2,val_accuracy,0.5044999718666077
2,2,loss,1.4805060625076294
2,2,val_loss,1.4195700883865356
2,3,accuracy,0.5378999710083008
2,3,val_accuracy,0.5260000228881836
2,3,loss,1.3114901781082153
2,3,val_loss,1.3406004905700684
3,1,accuracy,0.32280001044273376
3,1,val_accuracy,0.4350000023841858
3,1,loss,1.873412847518921
3,1,val_loss,1.6114692687988281
3,2,accuracy,0.4717999994754791
3,2,val_accuracy,0.4869999885559082
3,2,loss,1.4746893644332886
3,2,val_loss,1.4999057054519653
3,3,accuracy,0.5277000069618225
3,3,val_accuracy,0.5059999823570251
3,3,loss,1.3190796375274658
3,3,val_loss,1.4148691892623901
4,1,accuracy,0.3253999948501587
4,1,val_accuracy,0.40799999237060547
4,1,loss,1.8401845693588257
4,1,val_loss,1.6174911260604858
4,2,accuracy,0.46650001406669617
4,2,val_accuracy,0.4869999885559082
4,2,loss,1.4782873392105103
4,2,val_loss,1.4434070587158203
4,3,accuracy,0.531499981880188
4,3,val_accuracy,0.5220000147819519
4,3,loss,1.3156816959381104
4,3,val_loss,1.3331716060638428
