condition,test_accuracy,macro_precision,macro_recall,clean_train_acc,clean_val_acc,gap
baseline,0.5069 ± 0.0221,0.5221 ± 0.0156,0.5080 ± 0.0215,0.5428 ± 0.0268,0.4986 ± 0.0211,0.0442 ± 0.0111
augmented,0.4791 ± 0.0159,0.4968 ± 0.0095,0.4808 ± 0.0166,0.4993 ± 0.0175,0.4752 ± 0.0175,0.0241 ± 0.0062
